"사업번호","자치구","법정동","사업구분","운영구분","추진위원회/조합명","대표지번","진행단계","상태","정비구역명칭","정비구역위치","정비구역면적(㎡)","건축연면적(㎡)","용도지역","용도지구","택지면적(㎡)","도로면적(㎡)","공원면적(㎡)","녹지면적(㎡)","공공공지면적(㎡)","학교면적(㎡)","기타면적(㎡)","주용도","건폐율","용적률","높이(m)","지상층수","지하층수","건설세대총수","60미만건설세대수","60이상85이하건설세대수","85초과건설세대수","건축계획비고"
"11560-900000555","영등포구","","재개발(도시정비형)","추진위원회","71. 양평제14구역 도시환경정비사업 조합설립추진위원회","양평동2가 29-6","조합설립추진위원회승인","운영","양평제14구역 도시환경정비사업 ","서울특별시 영등포구 선유서로 25길 5(양평동2가31-2)","11082.10","","준공업지역","공동주택(아파트)및 부대복리시설 근린생활시설","","","","","","","","","","","","","","","","","",""
"11200-900000123","성동구","","재건축","추진위원회","장미아파트 주택재건축정비사업 조합설립추진위원회","성수동1가 656-421","조합설립추진위원회승인","일시중단","성수동 장미아파트 주택재건축 정비사업","서울시 성동구 성수1가동 656-421번지 장미아파트","11084.00","42121.33","준공업지역","","10458.10","625.90","","","","","","공동주택 및 부대복리시설","30.00","285.00","","20","2","268","132","117","19",""
"11305-900000032","강북구","","재건축","추진위원회","수유제4-2구역 주택재건축정비사업 조합설립추진위원회","수유동 291-224","조합설립추진위원회승인","일시중단","","","","","","","","","","","","","","","","","","","","","","","",""
"11410-900000075","서대문구","","재개발(도시정비형)","추진위원회","마포로5구역제2지구 도시환경정비사업 조합설립추진위원회","충정로3가 250-","조합설립추진위원회승인","운영","미포로5구역제2지구도시환경정비사업","서대문구 충정로3가 250-70 ","4565.81","31284.27","준주거지역제3종일반주거지역","중심지미관지구 방화지구","3631.23","","","","427.45","0.00","0.00","공동주택","59.54","526.12","70","19","4","","166","32","",""
"11230-900000356","동대문구","","재개발(도시정비형)","추진위원회","용두제6구역 도시환경정비사업 조합설립추진위원회","용두동 52-28","조합설립추진위원회승인","일시중단","용두제6 도시환경정비사업구역","서울시 동대문구 용두동 53-1번지","1873.20","11564.30","도시지역준주거지역","","1483.00","268.10","122.10","","","","","공동주택 및 근린생활시설","44.77","446.68","50","15","4","","70","","",""
"11260-100002008","중랑구","","재건축","추진위원회","면목동172-1번지일대 주택재건축정비사업 조합설립추진위원회","면목동 172-1","조합설립추진위원회승인","일시중단","면목제15구역 주택재건축정비사업조합설립추진위원회","중랑구 면목동 172-1 일대","12000.00","","공동주택(아파트) 및 부대복리시설","3종 일반주거지역 일반미관지구","","","","","","","","공동주택(아파트)및 부대복리시설","29.99","241.41","","20","2","","","191","54","장기전세주택(65.25㎡)36세대"
"11710-100002006","송파구","","재건축","추진위원회","잠실우성아파트 주택재건축정비사업 조합설립추진위원회","잠실동 101-1","조합설립추진위원회승인","운영","우성아파트 주택재건축정비사업구역","잠실동 101-1번지 일원","120354.20","323845.23","제3종일반주거지역","","111188.00","484.00","6082.00","","1600.00","","1000.00","아파트","21.04","291.26","105","35","","2326","439","999","888",""
"11290-100016005","성북구","","재개발(주택정비형)","추진위원회","장위15구역주택재개발정비사업 조합설립추진위원회","장위동 233-42","조합설립추진위원회승인","운영","장위15구역 주택재개발정비사업","장위동 233-42","189450.00","401598.28","제12종 일반주거지역(712층)","","63237.00","21509.00","27802.00","4324.00","1950.00","7652.00","","공동주택 및 복리시설","60.00","236.00","100","33","","2464","572","963","929",""
"11260-100003039","중랑구","","재개발(도시정비형)","추진위원회","상봉6재정비촉진구역 도시환경정비사업 조합설립추진위원회","상봉동 107-1","조합설립추진위원회승인","일시중단","상봉6재정비촉진구역","중랑구 상봉2동 107-1번지 ","98342.10","404142.80","준주거지역","일반미관지구","68227.80","10749.20","19365.10","","","","","주거판매문화등","60.00","399.50","140","","","1835","540","747","548",""
"11470-900000176","양천구","","재개발(도시정비형)","추진위원회","신정3재정비촉진지구2구역 공공관리자","신정동 1182-1","조합설립추진위원회승인","일시중단","신정3재정비촉진지구2구역 도시환경정비사업","양천구 신정동 1182-1","15046.60","56268.29","근린상업지역","일반미관지구최고고도지구","9645.60","","","","","","","","","","","","","","","","",""
